tweet_id,favorites,retweets,timestamp
845397057150107648,8241,2072,Fri Mar 24 22:08:59 +0000 2017
845306882940190720,25225,6039,Fri Mar 24 16:10:40 +0000 2017
845098359547420673,0,8640,Fri Mar 24 02:22:04 +0000 2017
844979544864018432,14738,2909,Thu Mar 23 18:29:57 +0000 2017
844973813909606400,16361,3617,Thu Mar 23 18:07:10 +0000 2017
844704788403113984,42022,11633,Thu Mar 23 00:18:10 +0000 2017
844580511645339650,17871,3533,Wed Mar 22 16:04:20 +0000 2017
844223788422217728,14753,2450,Tue Mar 21 16:26:50 +0000 2017
843981021012017153,16327,3285,Tue Mar 21 00:22:10 +0000 2017
843856843873095681,23211,5220,Mon Mar 20 16:08:44 +0000 2017
843604394117681152,18310,3081,Sun Mar 19 23:25:35 +0000 2017
843235543001513987,23315,6852,Sat Mar 18 22:59:54 +0000 2017
842892208864923648,0,56625,Sat Mar 18 00:15:37 +0000 2017
842846295480000512,16440,4023,Fri Mar 17 21:13:10 +0000 2017
842765311967449089,7321,1439,Fri Mar 17 15:51:22 +0000 2017
842535590457499648,19637,3937,Fri Mar 17 00:38:32 +0000 2017
842163532590374912,26569,6568,Thu Mar 16 00:00:07 +0000 2017
842115215311396866,15204,3386,Wed Mar 15 20:48:07 +0000 2017
841833993020538882,0,17504,Wed Mar 15 02:10:39 +0000 2017
841680585030541313,27854,8748,Tue Mar 14 16:01:03 +0000 2017
841439858740625411,13755,4168,Tue Mar 14 00:04:30 +0000 2017
841320156043304961,21402,6080,Mon Mar 13 16:08:50 +0000 2017
841314665196081154,17305,5312,Mon Mar 13 15:47:01 +0000 2017
841077006473256960,24926,5991,Mon Mar 13 00:02:39 +0000 2017
840761248237133825,0,1972,Sun Mar 12 03:07:56 +0000 2017
840728873075638272,0,18285,Sun Mar 12 00:59:17 +0000 2017
840698636975636481,197,3,Sat Mar 11 22:59:09 +0000 2017
840696689258311684,13377,1116,Sat Mar 11 22:51:24 +0000 2017
840632337062862849,9761,1972,Sat Mar 11 18:35:42 +0000 2017
840370681858686976,17918,5146,Sat Mar 11 01:15:58 +0000 2017
840268004936019968,20950,6497,Fri Mar 10 18:27:58 +0000 2017
839990271299457024,14640,2597,Fri Mar 10 00:04:21 +0000 2017
839549326359670784,29957,8805,Wed Mar 08 18:52:12 +0000 2017
839290600511926273,0,158,Wed Mar 08 01:44:07 +0000 2017
839239871831150596,29684,7422,Tue Mar 07 22:22:32 +0000 2017
838952994649550848,21289,4505,Tue Mar 07 03:22:35 +0000 2017
838921590096166913,12183,2357,Tue Mar 07 01:17:48 +0000 2017
838916489579200512,0,38,Tue Mar 07 00:57:32 +0000 2017
838831947270979586,0,12643,Mon Mar 06 19:21:35 +0000 2017
838561493054533637,11892,1504,Mon Mar 06 01:26:54 +0000 2017
838476387338051585,24664,5484,Sun Mar 05 19:48:43 +0000 2017
838201503651401729,0,11525,Sun Mar 05 01:36:26 +0000 2017
838150277551247360,1824,370,Sat Mar 04 22:12:52 +0000 2017
838085839343206401,150,0,Sat Mar 04 17:56:49 +0000 2017
838083903487373313,19183,3582,Sat Mar 04 17:49:08 +0000 2017
837820167694528512,37277,8952,Sat Mar 04 00:21:08 +0000 2017
837482249356513284,4204,495,Fri Mar 03 01:58:22 +0000 2017
837471256429613056,13967,2631,Fri Mar 03 01:14:41 +0000 2017
837366284874571778,23074,6005,Thu Mar 02 18:17:34 +0000 2017
837110210464448512,17480,2731,Thu Mar 02 01:20:01 +0000 2017
837012587749474308,0,88,Wed Mar 01 18:52:06 +0000 2017
836989968035819520,13879,2610,Wed Mar 01 17:22:13 +0000 2017
836753516572119041,21029,5237,Wed Mar 01 01:42:39 +0000 2017
836677758902222849,13782,2522,Tue Feb 28 20:41:37 +0000 2017
836648853927522308,0,626,Tue Feb 28 18:46:45 +0000 2017
836397794269200385,0,31314,Tue Feb 28 02:09:08 +0000 2017
836380477523124226,16037,3337,Tue Feb 28 01:00:19 +0000 2017
836260088725786625,23177,4850,Mon Feb 27 17:01:56 +0000 2017
836001077879255040,20924,4935,Sun Feb 26 23:52:43 +0000 2017
835685285446955009,0,9327,Sun Feb 26 02:57:52 +0000 2017
835574547218894849,19447,4121,Sat Feb 25 19:37:50 +0000 2017
835536468978302976,0,1939,Sat Feb 25 17:06:32 +0000 2017
835309094223372289,0,24013,Sat Feb 25 02:03:02 +0000 2017
835297930240217089,17847,3381,Sat Feb 25 01:18:40 +0000 2017
835264098648616962,8503,1939,Fri Feb 24 23:04:14 +0000 2017
835246439529840640,2259,83,Fri Feb 24 21:54:03 +0000 2017
835172783151792128,28552,6516,Fri Feb 24 17:01:22 +0000 2017
835152434251116546,24574,3443,Fri Feb 24 15:40:31 +0000 2017
834931633769889797,11838,1878,Fri Feb 24 01:03:08 +0000 2017
834786237630337024,22943,6159,Thu Feb 23 15:25:23 +0000 2017
834574053763584002,14993,2882,Thu Feb 23 01:22:14 +0000 2017
834477809192075265,0,12224,Wed Feb 22 18:59:48 +0000 2017
